Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;1;47;27;pick&drop_mission;311;1549
0;1;1;3;pick&drop_mission;1542;141
0;1;3;50;pick&drop_mission;304;14188
0;1;7;30;pick&drop_mission;14188;13357
0;1;9;36;pick&drop_mission;13357;13355
0;1;11;26;pick&drop_mission;13355;13351
0;1;14;42;pick&drop_mission;13351;14192
0;1;24;48;pick&drop_mission;14192;1542
0;1;33;19;pick&drop_mission;1542;325
0;1;54;14;pick&drop_mission;297;14188
0;1;58;49;pick&drop_mission;14188;13357
0;1;4;38;pick&drop_mission;8019;13757
0;1;13;28;pick&drop_mission;8019;13757
0;1;21;43;pick&drop_mission;8402;13757
0;1;13;42;pick&drop_mission;8469;3678
0;1;32;23;pick&drop_mission;8820;1253
0;1;26;29;pick&drop_mission;9442;3678
0;1;37;51;pick&drop_mission;9324;3678
0;2;3;50;pick&drop_mission;14243;197
0;2;27;25;pick&drop_mission;13355;14194
0;2;29;56;pick&drop_mission;14194;13344
0;2;56;9;pick&drop_mission;13344;1542
0;2;6;18;pick&drop_mission;1542;141
0;2;47;59;pick&drop_mission;297;14188
0;2;53;6;pick&drop_mission;14188;13355
0;2;55;43;pick&drop_mission;13355;14194
0;2;58;48;pick&drop_mission;14194;13344
0;2;3;7;pick&drop_mission;311;1549
0;2;29;24;pick&drop_mission;1549;197
0;2;31;49;pick&drop_mission;290;1549
0;2;28;35;pick&drop_mission;1542;431
0;2;31;15;pick&drop_mission;318;14293
0;2;34;58;pick&drop_mission;14293;13357
0;2;36;49;pick&drop_mission;13357;13353
0;2;38;47;pick&drop_mission;13353;13343
0;2;44;50;pick&drop_mission;1549;141
0;2;2;26;pick&drop_mission;1542;431
0;2;0;45;pick&drop_mission;14243;1542
0;2;42;47;pick&drop_mission;1542;197
0;2;46;57;pick&drop_mission;290;14190
0;2;51;50;pick&drop_mission;14190;13352
0;2;54;1;pick&drop_mission;13352;14192
0;2;56;30;pick&drop_mission;14192;13342
0;2;59;6;pick&drop_mission;13342;14196
0;2;37;19;pick&drop_mission;1549;13343
0;2;40;35;pick&drop_mission;13343;332
0;2;42;41;pick&drop_mission;290;13353
0;2;46;19;pick&drop_mission;13353;13343
0;2;48;23;pick&drop_mission;13343;1549
0;2;6;43;pick&drop_mission;13344;1542
0;2;46;10;pick&drop_mission;1542;332
0;2;53;34;pick&drop_mission;304;14188
0;2;0;17;pick&drop_mission;14192;1542
0;2;38;10;pick&drop_mission;1542;141
0;2;40;44;pick&drop_mission;297;14188
0;2;44;43;pick&drop_mission;14188;13357
0;2;46;43;pick&drop_mission;13357;13355
0;2;48;53;pick&drop_mission;13355;13351
0;2;51;6;pick&drop_mission;13351;14192
0;2;56;49;pick&drop_mission;14192;1542
0;2;29;1;pick&drop_mission;14196;1542
0;2;40;41;pick&drop_mission;1542;141
0;2;43;8;pick&drop_mission;290;14188
0;2;47;10;pick&drop_mission;14188;13351
0;2;49;29;pick&drop_mission;13351;14192
0;2;51;20;pick&drop_mission;14192;13343
0;2;1;33;pick&drop_mission;13343;1542
0;2;26;1;pick&drop_mission;13344;1542
0;2;55;6;pick&drop_mission;1542;197
0;2;58;21;pick&drop_mission;290;14188
0;2;34;1;pick&drop_mission;290;14293
0;2;37;50;pick&drop_mission;14293;14188
0;2;39;54;pick&drop_mission;14188;13357
0;2;41;42;pick&drop_mission;13357;13355
0;2;43;45;pick&drop_mission;13355;13351
0;2;46;20;pick&drop_mission;13351;14192
0;2;48;33;pick&drop_mission;14192;13346
0;2;50;57;pick&drop_mission;13346;14196
0;2;52;56;pick&drop_mission;14196;14243
0;2;55;52;pick&drop_mission;14243;1542
0;2;1;50;pick&drop_mission;14194;13344
0;2;46;35;pick&drop_mission;13344;1542
0;2;58;7;pick&drop_mission;1542;431
0;2;1;9;pick&drop_mission;304;14188
0;2;8;15;pick&drop_mission;14188;13357
0;2;16;12;pick&drop_mission;13357;13355
0;2;18;17;pick&drop_mission;13355;13351
0;2;41;30;pick&drop_mission;13351;14192
0;2;47;56;pick&drop_mission;14192;1542
0;2;56;24;pick&drop_mission;1542;431
0;2;59;22;pick&drop_mission;318;14188
0;2;31;11;pick&drop_mission;13343;14196
0;2;41;7;pick&drop_mission;13343;1542
0;2;4;13;pick&drop_mission;297;14188
0;2;8;41;pick&drop_mission;14188;13353
0;2;34;33;pick&drop_mission;13353;13346
0;2;37;48;pick&drop_mission;13346;14245
0;2;40;5;pick&drop_mission;14245;13343
0;2;42;22;pick&drop_mission;13343;14243
0;2;1;42;pick&drop_mission;13357;13355
0;2;3;42;pick&drop_mission;13355;13351
0;2;5;55;pick&drop_mission;13351;14192
0;2;7;48;pick&drop_mission;14192;13346
0;2;9;41;pick&drop_mission;13346;14196
0;2;11;33;pick&drop_mission;14196;14243
0;2;43;50;pick&drop_mission;14243;1542
0;2;52;29;pick&drop_mission;1542;141
0;2;54;51;pick&drop_mission;297;14293
0;2;58;26;pick&drop_mission;14293;14188
0;2;4;10;pick&drop_mission;1549;141
0;2;7;13;pick&drop_mission;297;14188
0;2;10;46;pick&drop_mission;14188;13355
0;2;12;51;pick&drop_mission;13355;13353
0;2;14;46;pick&drop_mission;13353;14247
0;2;16;4;pick&drop_mission;14247;14192
0;2;18;7;pick&drop_mission;14192;13342
0;2;1;19;pick&drop_mission;13357;13355
0;2;3;18;pick&drop_mission;13355;13351
0;2;5;49;pick&drop_mission;13351;14192
0;2;38;33;pick&drop_mission;14192;1542
0;2;47;24;pick&drop_mission;1542;332
0;2;50;3;pick&drop_mission;304;14188
0;2;53;39;pick&drop_mission;14188;13357
0;2;56;0;pick&drop_mission;13357;13355
0;2;58;1;pick&drop_mission;13355;13351
0;2;4;47;pick&drop_mission;9449;3678
0;2;57;13;pick&drop_mission;9450;1237
0;2;45;44;pick&drop_mission;9324;13760
0;2;52;16;pick&drop_mission;4720;13759
0;2;19;7;pick&drop_mission;7587;13763
0;3;50;48;pick&drop_mission;297;14293
0;3;7;22;pick&drop_mission;1542;141
0;3;23;54;pick&drop_mission;297;14293
0;3;28;24;pick&drop_mission;14293;14188
0;3;30;35;pick&drop_mission;14188;13357
0;3;32;31;pick&drop_mission;13357;13355
0;3;34;36;pick&drop_mission;13355;13351
0;3;37;1;pick&drop_mission;13351;14192
0;3;39;40;pick&drop_mission;14192;13346
0;3;41;50;pick&drop_mission;13346;14196
0;3;44;8;pick&drop_mission;14196;14243
0;3;46;16;pick&drop_mission;14243;1542
0;3;16;35;pick&drop_mission;1542;197
0;3;27;44;pick&drop_mission;290;14188
0;3;31;29;pick&drop_mission;14188;13355
0;3;33;27;pick&drop_mission;13355;13353
0;3;35;28;pick&drop_mission;13353;14247
0;3;36;57;pick&drop_mission;14247;14192
0;3;39;20;pick&drop_mission;14192;14243
0;3;42;16;pick&drop_mission;14243;13342
0;3;57;51;pick&drop_mission;13342;1542
0;3;1;58;pick&drop_mission;13344;1542
0;3;8;56;pick&drop_mission;1542;325
0;3;29;6;pick&drop_mission;290;14188
0;3;33;35;pick&drop_mission;14188;13355
0;3;36;15;pick&drop_mission;13355;14194
0;3;38;40;pick&drop_mission;14194;13344
0;3;8;36;pick&drop_mission;1549;141
0;3;11;57;pick&drop_mission;297;1549
0;3;35;31;pick&drop_mission;1549;141
0;3;38;48;pick&drop_mission;297;1549
0;3;33;44;pick&drop_mission;13343;14196
0;3;55;29;pick&drop_mission;14196;1542
0;3;5;51;pick&drop_mission;13343;1542
0;3;17;43;pick&drop_mission;1542;431
0;3;19;33;pick&drop_mission;290;14190
0;3;24;20;pick&drop_mission;14190;13352
0;3;26;13;pick&drop_mission;13352;14192
0;3;39;31;pick&drop_mission;14192;14243
0;3;42;11;pick&drop_mission;14243;1549
0;3;0;16;pick&drop_mission;14196;14243
0;3;5;30;pick&drop_mission;14243;1549
0;3;21;0;pick&drop_mission;1549;141
0;3;24;29;pick&drop_mission;297;14293
0;3;28;27;pick&drop_mission;14293;14188
0;3;31;2;pick&drop_mission;14188;13357
0;3;33;6;pick&drop_mission;13357;13355
0;3;35;3;pick&drop_mission;13355;13351
0;3;37;20;pick&drop_mission;13351;14192
0;3;39;24;pick&drop_mission;14192;13346
0;3;41;50;pick&drop_mission;13346;14196
0;3;44;0;pick&drop_mission;14196;14243
0;3;49;54;pick&drop_mission;14243;1542
