Day;Hour;Minute;Second;Mission;srcPoint;dstPoint
0;12;55;59;missEBM;1524;1419
0;12;56;21;missEBM;1966;2836
0;12;56;58;missEBM;1977;4583
0;12;57;13;missEBM;1524;1419
0;12;58;1;missEBM;1966;4737
0;12;59;42;missEBM;1977;4821
0;12;59;48;missEBM;1524;1419
0;13;0;43;missEBM;1966;2636
0;13;2;9;missEBM;1966;4807
0;13;2;15;missEBM;1977;4891
0;13;2;37;missEBM;1524;1419
0;13;3;32;missEBM;1966;2856
0;13;3;50;missEBM;1524;1419
0;13;5;4;missEBM;1977;2846
0;13;5;15;missEBM;1524;1419
0;13;6;13;missEBM;1966;8938
0;13;6;37;missEBM;1524;1419
0;13;6;55;missEBM;1977;2876
0;13;7;41;missEBM;1966;4669
0;13;7;57;missEBM;1524;4725
0;13;10;30;missEBM;1524;1419
0;13;11;51;missEBM;1524;1419
0;13;13;52;missEBM;1524;1419
0;13;15;6;missEBM;1524;4891
0;13;16;19;missEBM;1524;1419
0;13;16;46;missEBM;1977;4807
0;13;17;21;missEBM;1966;4835
0;13;19;1;missEBM;1524;2876
0;13;19;26;missEBM;1966;2776
0;13;20;23;missEBM;1524;4737
0;13;21;40;missEBM;1524;1419
0;13;23;0;missEBM;1524;4653
0;13;24;16;missEBM;1524;1419
0;13;25;33;missEBM;1524;1419
0;13;26;49;missEBM;1524;1419
0;13;29;16;missEBM;1524;1419
0;13;31;30;missEBM;1524;1419
0;13;40;31;missEBM;1524;1419
0;13;40;59;missEBM;1966;2786
0;13;43;46;missEBM;1524;1419
0;13;44;43;missEBM;1966;4851
0;13;45;10;missEBM;1524;1419
0;13;45;17;missEBM;1948;4807
0;13;45;31;missEBM;1977;2836
0;13;46;17;missEBM;1966;4835
0;13;47;24;missEBM;1524;1419
0;13;48;42;missEBM;1524;1419
0;13;48;46;missEBM;1977;8939
0;13;49;17;missEBM;1966;4837
0;13;51;8;missEBM;1524;1419
0;13;52;7;missEBM;1966;2786
0;13;52;19;missEBM;1524;2816
0;13;53;33;missEBM;1524;1419
0;13;53;49;missEBM;1966;4891
